사용월,호선명,지하철역,07:00:00~07:59:59,,08:00:00~08:59:59,
,,,승차,하차,승차,하차
2023-03,경의선,강매,"21,836","1,348","19,612","4,026"
2023-03,경의선,행신,"44,123","6,892","36,841","11,320"
2023-03,경의선,능곡,"19,503","2,806","18,738","7,024"
2023-03,경의선,곡산,"2,010","1,465","1,624","3,044"
2023-03,경의선,백마,"39,960","5,955","29,646","12,226"
2023-03,경의선,풍산,"26,221","4,181","22,492","8,907"
2023-03,경의선,일산,"54,481","7,792","39,264","20,329"
2023-03,경의선,탄현,"41,887","6,240","33,213","10,788"
2023-03,경의선,야당,"35,904","5,747","34,460","10,029"
2023-03,경의선,운정,"34,669","7,091","33,241","12,274"
2023-03,경의선,금릉,"22,945","6,125","17,798","12,911"
2023-03,경의선,금촌,"21,884","9,916","20,215","17,322"
2023-03,경의선,월롱,"1,944","10,879","2,207","13,221"
2023-03,경의선,파주,"3,079","2,225","2,989","6,174"
2023-03,경의선,문산,"16,816","7,317","16,238","16,712"
2023-03,경의선,임진강,0,0,0,0
2023-03,경의선,운천,0,0,0,0
2023-03,경의선,서울역,"3,033","28,382","3,630","43,864"
2023-03,경의선,공덕,"4,908","8,282","5,971","21,361"
2023-03,경의선,홍대입구,"1,552","2,266","1,808","7,707"
2023-03,경의선,디지털미디어시티,"12,702","2,152","12,798","4,924"
2023-03,경의선,김포공항,0,0,0,0
2023-03,경의선,계양,2,0,2,0
2023-03,경춘선,신내,"9,307","6,382","7,871","8,982"
2023-03,경춘선,갈매,"19,400","4,037","11,361","6,314"
2023-03,경춘선,별내,"14,472","4,857","11,189","8,483"
2023-03,경춘선,퇴계원,"21,394","4,306","14,520","5,789"
2023-03,경춘선,사릉,"11,944","5,509","9,105","5,334"
2023-03,경춘선,금곡,"5,133","2,272","5,363","6,626"
2023-03,경춘선,평내호평,"33,423","4,902","25,087","11,386"
2023-03,경춘선,천마산,"9,346","1,606","6,859","2,279"
2023-03,경춘선,마석,"17,246","6,324","15,178","7,882"
